GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto,VaultHandler,29,75,2,2,7,17,4,6,2,6
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.urlfile,AnsibleVaultUrlFilePlugin,0,67,0,0,0,15,0,7,0,7
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.util,AnsibleInventoryWriter,185,218,24,20,34,36,15,15,2,6
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.util,AnsibleInventoryReader,9,240,8,38,3,62,8,16,0,1
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.util,AnsibleVaultPassword,38,52,7,7,6,17,7,4,0,4
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.util,FileScriptLoader,51,58,1,3,6,14,1,4,0,3
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.util,AnsibleVaultPasswordMissing,9,0,0,0,4,0,2,0,2,0
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.type,AnsibleHost,109,23,20,0,31,8,17,4,7,4
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.type,AnsibleGroup,146,60,18,0,39,16,21,8,12,8
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.type,AnsibleInventory,72,43,8,0,20,11,10,6,6,6
CONGA Ansible Plugin,it.andreascarpino.ansible.inventory.type,AnsibleVariable,355,36,49,1,68,12,32,5,7,5
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.decoders,CypherFactory,6,12,2,2,2,3,2,1,0,1
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueprovider,AnsibleInventoryValueProviderPlugin.InventoryContent,0,20,0,0,0,8,0,4,0,4
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueprovider,AnsibleInventoryValueProviderPlugin,23,268,7,27,5,60,7,20,0,10
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueprovider,AnsibleVaultValueProviderPlugin,15,77,1,7,2,18,1,7,0,4
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.decoders.implementation,EncryptionKeychain,15,156,0,0,2,40,0,13,0,13
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.decoders.implementation,CypherAES,26,0,0,0,6,0,6,0,6,0
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.decoders.implementation,CypherAES256,120,395,5,9,21,84,7,15,2,13
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.data,VaultInfo,4,65,4,4,1,15,5,6,1,6
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.data,Util,9,142,0,8,2,24,1,13,1,9
CONGA Ansible Plugin,net.wedjaa.ansible.vault.crypto.data,VaultContent,63,323,9,21,5,70,9,16,0,10
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueencryption,AnsibleValueEncryptionPlugin,14,27,0,0,2,7,0,4,0,4
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueencryption,YamlVaultValueRepresent,19,0,0,0,3,0,2,0,2,0
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueencryption,AnsibleYamlRepresentPlugin,13,0,0,0,4,0,3,0,3,0
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueencryption,AnsibleYamlConstructorPlugin,15,0,0,0,4,0,3,0,3,0
CONGA Ansible Plugin,io.wcm.devops.conga.plugins.ansible.valueencryption,YamlVaultValue,3,9,0,0,1,4,1,2,1,2
CONGA Ansible Plugin,net.wedjaa.ansible.vault,Manager,6,66,0,0,2,12,0,5,0,5
