GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,OsgiConfigEscapingStrategy.new CharSequenceTranslator() {...},27,12,1,1,3,4,1,2,0,2
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,OsgiConfigEscapingStrategy,8,78,2,0,1,14,2,4,1,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,ProvisioningEscapingStrategy,19,37,2,2,2,11,2,5,0,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,ProvisioningUtil,112,157,15,17,19,31,10,10,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,OsgiConfigUtil,0,4,0,0,0,2,0,1,0,1
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,ConfigurationHandler_ConfigAdmin184,732,404,110,22,194,98,86,13,16,6
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.postprocessor,ProvisioningOsgiConfigPostProcessor.new ConfigConsumer() {...},0,47,0,0,0,7,0,2,0,2
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.postprocessor,ProvisioningOsgiConfigPostProcessor,7,35,0,0,2,9,0,5,0,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.validator,ProvisioningValidator,15,14,0,0,2,6,0,4,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.fileheader,ProvisioningFileHeader,4,13,0,0,1,5,1,5,1,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.fileheader,OsgiConfigFileHeader,55,30,4,4,10,10,3,10,1,8
