GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,OsgiConfigEscapingStrategy,2,84,1,1,0,15,1,5,0,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,OsgiConfigEscapingStrategy.new CharSequenceTranslator() {...},0,27,0,2,0,7,0,3,0,2
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.handlebars.escaping,ProvisioningEscapingStrategy,2,46,1,3,1,12,1,6,0,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.postprocessor,JsonOsgiConfigPostProcessor,7,28,0,0,2,8,0,4,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.postprocessor,ProvisioningOsgiConfigPostProcessor,7,25,0,0,2,8,0,4,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,RunModeComparator,2,36,2,10,1,7,2,8,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,JsonOsgiConfigUtil,33,306,4,32,4,78,4,23,0,9
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,ProvisioningUtil.new ConfigConsumer() {...},0,42,0,0,0,7,0,2,0,2
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,ProvisioningUtil,4,261,4,28,3,48,4,17,0,5
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.util,OsgiConfigUtil,0,12,0,0,0,3,0,1,0,1
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.validator,ProvisioningValidator,0,23,0,0,0,8,0,4,0,4
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.fileheader,ProvisioningFileHeader,0,17,0,0,0,6,0,6,0,6
CONGA Sling Plugin,io.wcm.devops.conga.plugins.sling.fileheader,OsgiConfigFileHeader,12,67,2,6,4,16,2,11,0,9
