GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.urlfile,MavenUrlFilePlugin,69,45,3,1,12,10,5,7,3,7
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,PackageMojo,100,238,15,17,15,51,12,14,0,10
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,HelpMojo,856,0,108,0,153,0,70,0,16,0
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,DefinitionPackageMojo,0,6,0,0,0,3,0,2,0,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,GenerateVersionInfoMojo,23,42,2,2,4,11,2,2,0,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,BuildConstants,0,5,0,0,0,1,0,1,0,1
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,GenerateMojo,5,189,1,5,1,49,1,5,0,3
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,MavenSlf4jLogFacade,281,103,2,4,92,25,58,9,56,8
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,ValidateMojo,105,491,12,22,15,105,12,20,2,13
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,DependencyVersionBuilder,40,162,2,8,6,38,2,9,0,6
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin,AbstractCongaMojo,58,401,9,23,9,82,9,26,0,19
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.valueprovider,MavenPropertyValueProviderPlugin,23,0,2,0,7,0,4,0,3,0
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,PluginConfigUtil,63,5,5,1,8,2,3,1,0,1
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,ClassLoaderUtil,30,58,0,4,7,9,1,4,1,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,MavenContext,15,68,0,0,5,26,5,16,5,16
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,MavenArtifactHelper,293,273,38,23,51,59,33,13,4,10
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,PathUtil,0,5,0,0,0,1,0,1,0,1
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.util,VersionInfoUtil,37,64,4,4,8,18,5,4,1,4
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.validation,TemplateValidator,18,44,1,1,2,11,1,2,0,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.validation,NoValueProviderInRoleValidator,30,48,1,7,3,14,1,7,0,4
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.validation,ModelValidator,21,14,0,0,2,5,0,2,0,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.validation,NoValueProviderInRoleValidator.MapReader,0,14,0,0,0,4,0,2,0,2
CONGA Maven Plugin,io.wcm.devops.conga.tooling.maven.plugin.validation,RoleTemplateFileValidator,23,74,3,11,3,17,3,6,0,2
